59.991,60.02,59.973,59.994,0.013523,0.0052222,0.16949,-0.99144,0.0085272,1
60.015,60.029,59.975,60.012,0.011919,0.0046,0.18644,-0.99146,0.0085404,1
59.991,60.012,59.967,59.988,0.011904,0.0052222,0.16949,-0.99143,0.0085198,1
59.997,60.026,59.972,59.997,0.01545,0.0075714,0.13559,-0.9914,0.0084919,1
60.004,60.029,59.979,60.005,0.013978,0.00425,0.22034,-0.99139,0.0084963,1
60.004,60.026,59.974,60.003,0.014463,0.0051,0.18644,-0.99136,0.0084653,1
60.015,60.029,59.979,60.009,0.014632,0.0041538,0.23729,-0.99139,0.0084906,1
60.013,60.026,59.964,60.004,0.019298,0.006,0.15254,-0.99145,0.0085426,1
59.982,60.021,59.961,59.986,0.015543,0.00675,0.15254,-0.99144,0.0085248,1
59.996,60.023,59.975,59.997,0.013178,0.0052222,0.16949,-0.99139,0.0084979,1
50.532,50.628,49.468,50.155,0.47823,0.0055,0.084746,-0.99116,0.0082062,2
50.759,50.794,50.686,50.747,0.031688,0.0049,0.18644,-0.99163,0.0087111,2
50.62,50.768,50.578,50.653,0.056921,0.0048571,0.13559,-0.99135,0.0084652,2
50.632,50.71,50.536,50.62,0.048727,0.0054,0.18644,-0.99141,0.0084988,2
50.595,50.617,50.577,50.596,0.00934,0.0056667,0.16949,-0.99145,0.0085429,2
50.556,50.577,50.531,50.555,0.011566,0.0047273,0.20339,-0.99148,0.008569,2
50.514,50.536,50.495,50.516,0.0089833,0.0045,0.18644,-0.99152,0.0086083,2
50.332,50.518,50.019,50.324,0.14261,0.0085,0.11864,-0.9913,0.0085102,2
50.511,50.544,50.333,50.483,0.063241,0.0053,0.18644,-0.99144,0.0085643,2
50.507,50.565,49.504,50.298,0.34412,0.0055,0.18644,-0.99141,0.0086715,2
60.227,60.803,59.23,60.199,0.35172,0.0034667,0.27119,-0.9807,-0.0021688,3
59.996,60.013,59.959,59.991,0.016773,0.0051,0.18644,-0.99145,0.0085503,3
59.992,60.008,59.971,59.991,0.0099115,0.0044545,0.20339,-0.99142,0.0085118,3
59.994,60.028,59.976,59.999,0.014145,0.0065,0.15254,-0.99143,0.0085151,3
59.994,60.019,59.965,59.994,0.013457,0.0086667,0.11864,-0.99149,0.0085819,3
59.997,60.023,59.967,59.995,0.015467,0.007,0.13559,-0.99144,0.0085223,3
60.002,60.016,59.986,60.001,0.0078054,0.0073333,0.11864,-0.99147,0.0085564,3
60.008,60.023,59.996,60.009,0.0066007,0.005,0.18644,-0.99142,0.0085174,3
59.999,60.024,59.968,59.997,0.015686,0.007,0.15254,-0.99146,0.0085602,3
60.002,60.02,59.972,60,0.011933,0.0056667,0.16949,-0.99149,0.0085751,3
60.017,60.029,59.976,60.01,0.017524,0.0053,0.18644,-0.99149,0.0085739,3
49.966,49.992,49.943,49.966,0.0095538,0.0028421,0.33898,-0.99147,0.0085704,4
50.004,50.017,49.99,50.004,0.0065544,0.0040769,0.23729,-0.99148,0.0085708,4
50.013,50.03,50.001,50.014,0.007043,0.0049,0.18644,-0.99142,0.0085064,4
49.999,50.017,49.986,49.999,0.0062666,0.0049,0.18644,-0.9914,0.0084956,4
50.005,50.02,49.974,50.003,0.0098446,0.004,0.22034,-0.99132,0.0084082,4
50.013,50.024,49.996,50.012,0.0061816,0.0048182,0.20339,-0.99139,0.0084871,4
50.004,50.024,49.953,49.99,0.024144,0.0049,0.18644,-0.99146,0.0085569,4
50.024,50.04,49.997,50.023,0.010584,0.0050909,0.20339,-0.9915,0.0085913,4
50.029,50.047,49.996,50.026,0.01366,0.005,0.20339,-0.99147,0.0085644,4
50,50.025,49.985,50.001,0.0085393,0.006125,0.15254,-0.99137,0.0084626,4
50.015,50.025,49.999,50.014,0.0062243,0.0038333,0.22034,-0.99147,0.0085582,4
49.981,49.989,49.975,49.981,0.0031441,0.0034667,0.27119,-0.99137,0.0084674,5
49.973,49.978,49.965,49.972,0.0025621,0.0031176,0.30508,-0.99146,0.0085583,5
